	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup10260	227	156	93	175	107	81	141	252	158	125	187	179	113	235	231	139	
isogroup10261	12	8	9	18	9	8	10	16	6	5	6	12	7	38	13	21	
isogroup10262	88	105	89	162	62	93	128	138	51	92	119	116	88	127	109	89	
isogroup10263	37	27	19	50	27	24	43	44	11	27	27	36	15	28	22	34	
isogroup10264	0	1	1	3	1	1	1	0	0	0	1	2	0	2	0	1	
isogroup10265	9	9	19	14	15	4	6	10	8	14	11	12	13	14	8	10	
isogroup10266	18	9	5	9	5	4	15	22	9	4	6	12	23	40	17	26	
isogroup10267	4	4	4	2	1	1	2	1	1	1	2	2	0	0	5	4	
isogroup10268	25	23	14	18	19	9	20	11	12	22	15	24	21	23	19	20	
isogroup10269	25	23	16	7	9	11	23	32	11	14	11	23	8	24	7	17	
isogroup1027	12	22	12	19	10	8	20	22	7	5	5	7	17	10	15	17	
isogroup10270	6	2	9	8	1	1	13	2	0	2	2	12	7	8	7	12	
isogroup10272	29	42	32	36	23	14	47	59	18	27	26	48	14	37	45	33	
isogroup10273	22	16	19	37	7	7	6	14	22	24	12	11	14	21	17	9	
isogroup10274	15	20	33	24	28	14	24	21	15	16	20	21	6	19	10	19	
isogroup10275	1	1	1	4	0	0	1	0	2	0	2	2	2	4	1	0	
isogroup10276	19	35	18	21	16	27	18	20	15	11	7	20	9	25	20	27	
isogroup10277	5	9	3	6	0	0	2	7	0	1	1	2	2	6	2	5	
isogroup10278	15	12	11	12	14	5	11	16	10	10	4	16	1	11	1	14	
isogroup10279	2	3	2	2	1	2	2	2	3	0	1	2	7	7	2	3	
isogroup1028	36	91	36	59	18	26	50	56	53	54	26	53	38	45	59	43	
isogroup10280	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	
isogroup10281	8	20	15	2	3	13	4	6	1	1	0	2	6	3	3	4	
isogroup10282	14	10	12	19	8	5	17	20	5	9	10	11	15	17	18	9	
isogroup10283	34	30	21	26	21	9	32	36	10	9	17	42	15	31	35	31	
isogroup10284	17	32	40	27	13	37	12	23	3	6	11	20	9	46	19	28	
isogroup10285	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	
isogroup10286	0	1	0	0	0	0	0	2	0	3	0	0	0	0	0	9	
